"expediente","producto","titular","registrosanitario","fechaexpedicion","fechavencimiento","estadoregistro","expedientecum","consecutivocum","cantidadcum","descripcioncomercial","estadocum","fechaactivo","fechainactivo","muestramedica","unidad","atc","descripcionatc","viaadministracion","concentracion","principioactivo","unidadmedida","cantidad","unidadreferencia","formafarmaceutica","nombrerol","tiporol","modalidad","ium"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","8","84","CAJA POR 4 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Activo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER","2C1006721007101"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","11","63","USO INSTITUCIONAL - CAJA POR 3 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER CON PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"27407","LASIX® 40 MG TABLETAS","SANOFI-AVENTIS DE COLOMBIA S.A.","INVIMA 2021M-00181-R4","1995 Oct 03 12:00:00 AM","2021 Oct 01 12:00:00 AM","En tramite renov","27407","4","24","CAJA POR 24 TABLETAS EN BLISTER PVC VERDE/ALUMINIO.","Activo","11/10/2006",,"No","U","C03CA01","FUROSEMIDA","ORAL","A","FUROSEMIDA","mg","40","TABLETA","TABLETA","OPELLA HEALTHCARE BRAZIL LTDA","FABRICANTE","IMPORTAR Y VENDER",
"19950320","CETIRIZINA 10MG","COLMED LTDA","INVIMA 2021M-0004383-R2","2005 Apr 26 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","19950320","4","20","CAJA POR 20 TABLETAS CUBIERTAS CON PELÍCULA EN EMPAQUE INDIVIDUAL TIPO BLÍSTER ALUMINIO/ PVDC POR 5 TABLETAS CUBIERTAS CON PELÍCULA.","Activo","05/15/2015","06/09/2020","No","U","R06AE07","CETIRIZINA","ORAL","A","CETIRIZINA DICLORHIDRATO","mg","10","TABLETA CUBIERTA CON PELÍCULA","TABLETA RECUBIERTA","PROCAPS S.A.","FABRICANTE","FABRICAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","16","84","USO INSTITUCIONAL - CAJA POR 4 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER SIN PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","13","126","USO INSTITUCIONAL - CAJA POR 6 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER CON PORTABLISTER.","Inactivo","11/08/2016",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ETINILESTRADIOL MICRONIZADO","mg","0,03","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER",
"20103221","POST 2D® 0.75 MG TABLETAS","EXELTIS S.A.S.","INVIMA 2021M-0017046-R1","2016 May 03 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20103221","2","4","1L1008251006101 LEVONORGESTREL 0.7500 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (POST2D) TABLETA 1.0000U / CAJA X 4 / CAJA PLEGADIZA CON 2 BLÍSTER EN PVC/PVDC/FOIL ALUMINIO POR 2 TABLETAS CADA BLÍSTER","Activo","10/26/2019",,"No","U","G03AC03","LEVONORGESTREL","ORAL","A","LEVONORGESTREL","mg","0,75","TABLETA","TABLETA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER","1L1008251006101"
"20077110","LADEE®","EXELTIS S.A.S","INVIMA 2022M-0016841-R1","2016 Feb 22 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20077110","4","126","CAJA POR 6 BLÍSTER DE PVC-PVDC / ALUMINIO POR 21 TABLETAS CUBIERTAS CON PELÍCULA CADA BLÍSTER. CADA BLÍSTER CON PORTABLISTER.","Activo","08/27/2015",,"No","U","G03AA15","CLORMADINONA Y ETINILESTRADIOL","ORAL","A","ACETATO DE CLORMADINONA","mg","2","TABLETA RECUBIERTA","TABLETA CUBIERTA CON PELICULA","LABORATORIOS LEON FARMA S.A.","FABRICANTE","IMPORTAR Y VENDER","2C1006721007102"
"20103221","POST 2D® 0.75 MG TABLETAS","EXELTIS S.A.S.","INVIMA 2021M-0017046-R1","2016 May 03 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20103221","2","4","1L1008251006101 LEVONORGESTREL 0.7500 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (POST2D) TABLETA 1.0000U / CAJA X 4 / CAJA PLEGADIZA CON 2 BLÍSTER EN PVC/PVDC/FOIL ALUMINIO POR 2 TABLETAS CADA BLÍSTER","Activo","10/26/2019",,"No","U","G03AC03","LEVONORGESTREL","ORAL","A","LEVONORGESTREL","mg","0,75","TABLETA","TABLETA","EXELTIS S.A.S.","IMPORTADOR","IMPORTAR Y VENDER","1L1008251006101"
"20103221","POST 2D® 0.75 MG TABLETAS","EXELTIS S.A.S.","INVIMA 2021M-0017046-R1","2016 May 03 12:00:00 AM","1900 Jan 01 12:00:00 AM","En tramite renov","20103221","8","24","1L1008251006105 LEVONORGESTREL 0.7500 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (POST2D) TABLETA 1.0000U / CAJA X 24 / CAJA PLEGADIZA CON 12 BLÍSTER EN PVC/PVDC/FOIL ALUMINIO POR 2 TABLETAS CADA BLÍSTER","Activo","10/26/2019",,"No","U","G03AC03","LEVONORGESTREL","ORAL","A","LEVONORGESTREL","mg","0,75","TABLETA","TABLETA","EXELTIS S.A.S.","IMPORTADOR","IMPORTAR Y VENDER","1L1008251006105"
